###A table for determining the band around a star that would contain water 100'C - 0'C
###Format is star type, inner AU, outer AU
A6VI, 2.772, 5.175
A6VII, 0.017, 0.031
A5Ia, 125.089, 233.514
A5Ib, 51.878, 96.845
A5II, 24.384, 45.52
A5III, 5.51, 10.285
A5IV, 4.68, 8.737
A5V, 3.43, 6.404
A5VI, 3.068, 5.728
A5VII, 0.017, 0.032
A4Ia, 125.089, 233.514
A4Ib, 52.478, 97.964
A4II, 27.119, 50.625
A4III, 5.594, 10.443
A4IV, 4.877, 9.104
A4V, 3.732, 6.966
A4VI, 3.338, 6.231
A4VII, 0.018, 0.033
A3Ia, 125.089, 233.514
A3Ib, 53.071, 99.071
A3II, 29.602, 55.259
A3III, 8.845, 16.512
A3IV, 5.066, 9.457
A3V, 4.011, 7.487
A3VI, 3.587, 6.697
A3VII, 0.022, 0.042
A2Ia, 125.089, 233.514
A2Ib, 53.657, 100.166
A2II, 31.892, 59.535
A2III, 11.188, 20.886
A2IV, 5.248, 9.796
A2V, 4.271, 7.974
A2VI, 3.82, 7.132
A2VII, 0.026, 0.049
A1Ia, 125.089, 233.514
A1Ib, 54.237, 101.249
A1II, 34.028, 63.523
A1III, 13.119, 24.491
A1IV, 5.424, 10.125
A1V, 4.517, 8.432
A1VI, 4.04, 7.542
A1VII, 0.03, 0.055
A0Ia, 125.089, 233.514
A0Ib, 54.811, 102.321
A0II, 36.038, 67.275
A0III, 14.801, 27.63
A0IV, 5.594, 10.443
A0V, 4.75, 8.867
A0VI, 4.249, 7.931
A0VII, 0.033, 0.061
B9Ia, 125.089, 233.514
B9Ib, 55.379, 103.381
B9II, 37.941, 70.828
B9III, 16.31, 30.446
B9IV, 9.361, 17.475
B9V, 4.972, 9.282
B9VI, 4.447, 8.302
B9VII, 0.035, 0.066
B8Ia, 125.089, 233.514
B8Ib, 55.942, 104.43
B8II, 39.557, 73.843
B8III, 17.69, 33.024
B8IV, 11.998, 22.398
B8V, 5.185, 9.679
B8VI, 4.637, 8.657
B8VII, 0.038, 0.071
B7Ia, 125.089, 233.514
B7Ib, 68.514, 127.901
B7II, 57.323, 107.009
B7III, 18.971, 35.414
B7IV, 14.152, 26.419
B7V, 5.389, 10.06
B7VI, 4.82, 8.998
B7VII, 0.04, 0.075
B6Ia, 125.089, 233.514
B6Ib, 79.113, 147.687
B6II, 70.761, 132.095
B6III, 50.036, 93.405
B6IV, 16.019, 29.904
B6V, 5.594, 10.443
B6VI, 5.004, 9.341
B6VII, 0.043, 0.08
B5Ia, 125.089, 233.514
B5Ib, 88.451, 165.119
B5II, 82.026, 153.125
B5III, 68.514, 127.901
B5IV, 17.69, 33.024
B5V, 12.509, 23.351
B5VI, 11.188, 20.886
B5VII, 0.045, 0.084
B4Ia, 125.089, 233.514
B4Ib, 96.894, 180.879
B4II, 91.921, 171.597
B4III, 82.975, 154.895
B4IV, 58.136, 108.527
B4V, 17.69, 33.024
B4VI, 15.823, 29.537
B4VII, 0.047, 0.087
B3Ia, 125.089, 233.514
B3Ib, 104.657, 195.371
B3II, 100.85, 188.265
B3III, 95.265, 177.839
B3IV, 80.291, 149.886
B3V, 35.381, 66.048
B3VI, 31.645, 59.075
B3VII, 0.049, 0.091
B2Ia, 125.089, 233.514
B2Ib, 111.883, 208.861
B2II, 109.05, 203.572
B2III, 106.142, 198.143
B2IV, 97.537, 182.081
B2V, 46.804, 87.373
B2VI, 41.863, 78.149
B2VII, 0.051, 0.095
B1Ia, 125.089, 233.514
B1Ib, 118.67, 221.53
B1II, 116.675, 217.807
B1III, 116.003, 216.552
B1IV, 112.163, 209.382
B1V, 55.942, 104.43
B1VI, 50.036, 93.405
B1VII, 0.053, 0.099
B0Ia, 125.089, 233.514
B0Ib, 125.089, 233.514
B0II, 125.089, 233.514
B0III, 125.089, 233.514
B0IV, 125.089, 233.514
B0V, 125.089, 233.514
B0VI, 111.883, 208.861
B0VII, 0.056, 0.104
